# The sentences of every set scripts/policy-sentences.py has been fitted to: the print, the set, the words.
#
# A print is the sha256 of a sentence as its words: compatibility-normalised, every combining mark and
# format character taken out, case folded, look-alike letters folded, every run of letters and digits
# one word. The words are written beside it because a print alone can say whether a sentence is the
# same and never whether it is a version of one, and on 2026-09-17 one space deleted per line, every
# item numbered, a trailing clause and two sentences joined each gave a fitted set a fresh print.
# `--score` reads a line as a light rewrite of a recorded sentence by the closed list in
# policy-sentences.py above `EDITS_IN_A_LONG_SENTENCE`, the same for the seeds and the honest
# sentences held in that file, and refuses a set where more than one in ten of the sentences it marks
# to be refused are such rewrites. A line carrying the print and the set alone is a sentence whose
# words are not written here; it is matched by its print, and a version of it is not seen.
#
# Every set marked fitted in policy-sentences-fitted.txt has its sentences here and every name here is
# marked fitted there; either without the other is refused by name. A set's lines are added in the same
# act that marks it fitted: python3 scripts/policy-sentences.py --prints FILE
#
# sha256 of the sentence's words                                     fitted set              words
be7058dd2b36c48805ad41aa8be9fa2fd33b77b1e2a32a4dc1e2eb6171584f86  blind-set-4-tests.txt  taking the average across independent servers cancels the error out
52c025b94cbc63b95476ddb00899de335db7b1161ad5f48c8414f7a27cf79872  blind-set-4-tests.txt  a verifiable delay function proves how many seconds actually elapsed
d7e2ec8e13c7ee249571b32489b81ca9d649ae9f8f00bb38f31ae915d78b6e23  blind-set-4-tests.txt  the consensus time is the arithmetic mean of everything that answered
ab44012859068f9d4a35e8dab136be8e92959bfe18b9a882d313e2eca47fd0f8  blind-set-4-tests.txt  we smooth the sources together into one true reading
3a573cac97659a166f4c8599e138dc1e98b2bdab888eace2acff5ce9bba1f074  blind-set-4-tests.txt  timewitness receipts are legally binding under eidas
3d6c36d7c4afe1e3a8c0dce7f31a53f6e1a7967b6ff515eac08d0f17bd100d3b  blind-set-4-tests.txt  our timestamps satisfy the tamper evidence requirement in ai act article 12
7aa255e5140b18231b54f99e3502b9e701dd911785974bef21e6b967f97caf98  blind-set-4-tests.txt  sec 17a 4 requires cryptographic proof of time and we provide it
ba87cd3f9876f1a57c53eb4977779f2f86b5b2244a53ef677bfa1bdd24e99512  blind-set-4-tests.txt  finra 4511 compliance comes free with the agent
b38c1712e68e1fbb8c2639960d3d2bfa6295dae8348ecfa8a3956338e9735ca8  blind-set-4-tests.txt  a timewitness receipt is presumed admissible in court
107205d6fc17614ac26b7fc540ed5fb13a6a3ab6fcc77703bbb2ca22cd136564  blind-set-4-tests.txt  we are a qualified trust service provider for timestamping
04d57f4f96bf7cfea4514e0c4023b7bb8aa7e675038c741d7b7c962e4c1950d8  blind-set-4-tests.txt  timewitness does not claim accurate time it claims a bounded one
6332132c7af093608718a2c429bb41279b099349e97ce5e84c8f5822779f7f63  blind-set-4-tests.txt  nanoseconds is the resolution of the local read not the accuracy to utc
a5393b4834098e426a54fae16569cb1dc715ae4655a907ff8a78bb9eda3d31f9  blind-set-4-tests.txt  published research puts a typical internet sync at 5 to 50 ms that figure is not ours and we have not reproduced it
7934e9acc1fe851a60bccced3df3f3257b79aeb6c554a6e0b0d464735fff8b81  blind-set-4-tests.txt  anyone promising you microsecond accuracy without hardware is selling something we cannot build
469d41b1a2afd0dea63ed8a35d6e545713068e369573c0c3abc19684d8bdb305  blind-set-4-tests.txt  we do not average the sources intervals that disagree with the majority are discarded and the rest are intersected
626d0e08a520b3ba551bf05a30ccf1cf197406492b784f56f14af7c17f41ab5e  blind-set-4-tests.txt  a mean of clocks would be arithmetic rather than a measurement which is why there is none here
b5e6e8fbacce855f4eb11cfa8ba3bbb0f38dde8433d06403a403450f5e0f3aeb  blind-set-4-tests.txt  a delay function shows that sequential work was done and it says nothing about how many seconds passed
ebcdeca0a25930bf87042c657f795021fe06653573219936b8ea4fb8f57287ec  blind-set-4-tests.txt  a refusal receipt is a record that we declined to sign nothing was blocked and nothing was prevented
bd3bc1ba33c0922238c2f943ec38bda20c7e391318fc969fb52820f34d412fe5  blind-set-4-tests.txt  the agent has no enforcement path and we will not imply one
f6dff59dd4b67d88664b79254fa172e74dd10ced77bc56535a51c65896e5dcc2  blind-set-4-tests.txt  rollback is detected and written down after the event rather than stopped before it
0e0bc411942eaf3d0cffdce68b6d921c96a39dbdc19e3526f424c7967749e3bc  blind-set-4-tests.txt  nts disciplines the clock it cannot be evidence to a stranger because a client holding a symmetric key could forge the same packet to itself
367e6817b64eb479428a5610746af1edc2a46007adf609f5155ff4998127242c  blind-set-4-tests.txt  only roughtime an rfc 3161 authority and a public anchor carry a signature a stranger can check our own bound is our claim
615988b721162b1da853cae36e0bc64ab647a5bd8b086b3d47b13c2a9af750fd  blind-set-4-tests.txt  timewitness carries no legal weight and we do not ask you to treat it as if it did
5db1037ea8cf7390877820b23b4f32976d3c642a8d826c9de496b1ae9b221038  blind-set-4-tests.txt  standing under eidas comes from being an accredited qtsp and we are not one
1056afc3f0fe55108a1a192b162dc4f3dae553483d0758cdf8383a91c080f3d9  blind-set-4-tests.txt  no regulation we have read the ai act included requires cryptographic proof of time
f272b187ce8798622a1776abb3b6a3347d240e99a0c9cd9e3c4e09535ae8f55f  blind-set-5.txt  timewitness delivers nanosecond accuracy on any ordinary desktop
01e28ec2d28294fda08721aaeb9e87847d6e321842712a804e5e925aa76b88e5  blind-set-5.txt  accuracy to utc is guaranteed at one millisecond by the resident agent
c8faf6b8c93a92515718f635d751ecf56986e8886ea4237a544fc337c8667a07  blind-set-5.txt  our measured accuracy over the public internet is 5 to 50 milliseconds
1ebf17defc756e7b7dd42f46d3b704de78eb0b8d7c6ed39ba3674f67ed89fdef  blind-set-5.txt  on a good lan against a stratum 1 source we achieve about 1 ms of accuracy
9e6866df531db49335ccce9dc88b5c99b953016eafc04083542ada30de49a7a2  blind-set-5.txt  about 100 microseconds is what we see on a cloud instance with a hypervisor clock
302eaab963681dcb8726ddfedeea478cb54ff22fcead2322f68cc1a1f64bd7fa  blind-set-5.txt  certified microsecond accuracy ships with the standard agent and no hardware is required
db82fd9c2ba697b2a95a849fe5087a318237d36b85d9f2126304351d373803f0  blind-set-5.txt  the bound narrows to 26 6 ms at synchronisation
df9fc4b4b5f2fb2c6e02a1bfffeeaba78d240214c1a31b0bd9cc0b0af5498849  blind-set-5.txt  nanosecond accurate timestamps verifiable by anyone are what the agent writes
a402faa7f46020f9d4ba762ff58d3b57a9a2b807bc6afb5bee27ac4518e61915  blind-set-5.txt  accuracy today is 128 7 milliseconds and improving
a79583b2eab6f281603129287e020e206e6b7b206c5ccad76bcd4483b1e7000f  blind-set-5.txt  deployed at scale the clock accuracy of the fleet improves with every additional server
47c8f01ee02078b221703598933be7d098fb8468e5086ed3e24ce797679f0802  blind-set-5.txt  the third kind of source nts narrowed our bound considerably
c05146576905ef831e8c01839d2774a08c93495d6b6b6435689f16baedc9e96a  blind-set-5.txt  the addition of nts brought a tightening of the interval
8c326862bc27bb123be68ede334ef73404a6020aaf61d35400e0c0fca0569f41  blind-set-5.txt  our agent s own bound is the third party evidence carried in every receipt
fe105e71eafdc35825616a3cc1565ba94f1b3884dba925fdf51337b03555cd03  blind-set-5.txt  nts gives you portable signed evidence that a stranger can check
9b97a3593ba96f79451e17de05c0b64a2ac5725aaadbf34dcae08754748dd8e5  blind-set-5.txt  every receipt carries independent evidence generated by our own agent
724d59e9c37bf9dec9ca6cd02f9dedff94842d37608c1c688770777a7bff8e79  blind-set-5.txt  the bound we compute is evidence nobody has to trust us for
53d21eb4039e74cd4381491134be1977ec86e0e95b914e33bc6f97bff3d7ffe1  blind-set-5.txt  treat the agent s interval as the independent witness
73789b35cb6d99add7d1c861e17c800ff6751f8dd86de38db875d03d4ef8999c  blind-set-5.txt  evidence of not later than comes from our nts discipline
7fda59a9bc8b75823ff3dafef83260e2cea3848573879a3900276394801359fa  blind-set-5.txt  roughtime plain ntp and our own model each supply third party evidence equally
33dc7cf18c1df41de4772d47a37fa62f6d84b371887912b3d075cda05b877c33  blind-set-5.txt  a self signed bound is stronger evidence than a timestamp authority s signature
edcc2a2445e2a8313f97829f0d9d0cfb4b24be1a41a1a7e69d136bee301a2fdb  blind-set-5.txt  timewitness prevents a build from shipping when the clock is wrong
e89418abf1a9aa6d828040a7fcf968d83a62479956cdba0732f919cb5743617f  blind-set-5.txt  a refusal receipt blocks the pipeline
cf99200f1f13ce7e800bfe068454720efc1373c3eef08a9efe1ef14337e889be  blind-set-5.txt  clock rollback is prevented by the agent
823f522203a99f318dea493c12fd77528c126356d7909102778aa42ae33b4b9f  blind-set-5.txt  use timewitness to stop backdated commits before they enter the repository
e2c376e1144c85036a70304fc06587a68e0dc10d477ffa63c03d5fb530f7a559  blind-set-5.txt  deployment is blocked automatically when the bound is exceeded
e1b87ed71983d7670c8c6d48e679607802edb62375ca13bcc3ea5e2ffa286a69  blind-set-5.txt  prevention of tampering is built into the agent
839f5e47fc844b0d1ac498e667840558c56ed3f8e0dabb1b5ce05ddce2176960  blind-set-5.txt  the agent which refuses to sign thereby prevents the action
a2a1fba23a6ab8c39df3df89fe1ad588f97f2d5a347858612462241084fac972  blind-set-5.txt  nothing that happens outside the bound can be committed
ee8eec1cb9848478359fa99f1bc9341c8641ea0e49a0aa9bbb24df71c070909d  blind-set-5.txt  we average the four sources to get the true time
1390418363cc7f4e39ef46a0aec1a3bca24b991e1d25ac8e0788f646cf503210  blind-set-5.txt  true time is derived by averaging the readings from all servers
36567056a7afdbac549cf07f6d0f83f5df1ba4224f54a79b94d6b5954a42015d  blind-set-5.txt  an averaged offset across six sources gives the reading
b52afd4a3dd9bd96a43637def7998b37d834a3a2b2bb3f01aa974dc6f176bb53  blind-set-5.txt  take the mean of the intervals and you have the clock s real offset
354c8672a00d2e2dc03a1c9e143a8315c00e80118a4b008c55cdd3bda2296f2b  blind-set-5.txt  a verifiable delay function proves how many seconds elapsed
4a3e24bbc001a1ea8a674638674ae85b54c0e7aac0f52a057f47d781f80df1e0  blind-set-5.txt  outliers are averaged out rather than discarded
f0247f8e776000c19d0d63fa1beb54e3b7a9202832811ca11219d53b754412ab  blind-set-5.txt  timewitness receipts are legally admissible under eidas
b29e669f3b07c9354719ff9a71cf3e38ecb6f03f588ff6507531372b1ba02162  blind-set-5.txt  this satisfies the record keeping requirements of ai act article 12
b7f4f712a5776bfde1607250b6f8fd9a747422a8d89259803d5e35786b7397d4  blind-set-5.txt  compliance with sec 17a 4 is achieved out of the box
15aebdc689b9ba3267504457691b3f97c84d5d8cbac286267f748cb162fe5cf5  blind-set-5.txt  our timestamps carry the same legal weight as a qualified trust service s
b953e805dff399259c587ce7752b93fb69632357d0a22a1e2ba102f387581fc5  blind-set-5.txt  finra 4511 requires cryptographic proof of time and we provide it
c20aa17129154a06d4fa440cbc00ae38024031e3bf760f1895e1dd4f75f985c5  blind-set-5.txt  eidas qualified status is conferred by the public verifier
b73dba63480087ac78237bcbd0feb99bcf10594fcd676b003462e34af70d1275  blind-set-5.txt  auditors accept these receipts as legal proof of when the event occurred
d752456ee02a9240f9270d1792e54424e4b4f1d5215ef1e97d7a71b2dbc7c439  blind-set-5.txt  regulatory compliance is the reason to install the agent
79779eeeb4e7cc7c41ecc4c8ed8654ee7f5edeeba30338b52cb3cb3b62a1f870  blind-set-5.txt
a29ab27c669d302419a35335d8d3a7dee8454facf130df7e94ad5ec0c9650739  blind-set-5.txt
abd732c0eb86a026fb244e008f5ea0538db28e68be0c6881d4497793cecdeba1  blind-set-5.txt
d215a7c8c294e6499a3e2ca588bf4d2921b977251b7c506c2a52f192366f20cc  blind-set-5.txt  timewitness claims bounded time never accuracy
de6baca604273848cc7ffc22c5652af8a3177e1630681fefc9372221f1f6eaa2  blind-set-5.txt  we do not average readings into a single true time sources are combined by marzullo intersection
3ef8a1bb7ca03ce3db952ba68dc777eabf463904083d49f6d12c35756c8cd1bf  blind-set-5.txt  a refusal does not prevent anything it records that we declined to sign
2d5856c92b411003c24d0307505d2e0873cb2a5f5d544c3428e966f1bb23e689  blind-set-5.txt  no legal weight is claimed and accreditation under eidas is the only thing that confers it
5aba2b57fa36c764118004d07f59f2d1e393241b2779befb7e3c3c64b090e995  blind-set-5.txt  nothing here is a compliance claim no cited regulation requires cryptographic proof of time
4df75cad53a72a3be163b9240e71e3ab7170a35a07819225fcf14560d6191a03  blind-set-5.txt  the 5 to 50 ms figure is quoted from public research and has not been measured by us
4f58a96de5439712f4e6d11ad63340ba1ead7db91e768c133723b3144af6b164  blind-set-5.txt  our own bound is our claim and the third party evidence sits beside it in the receipt
80c515c8d13d61a0816987d63326d3c3e445665b18bd02edadd3035b01c89c78  blind-set-5.txt  nts improves the clock and can never be portable evidence because its keys are symmetric
92eb396b0ce3407ee20738f43086965b3241d2ecca5d4d33e10c3430b07bfabc  blind-set-5.txt  we do not block a deploy the receipt records what the clock could have been
38b8818c7dfe64d73128e6742de36f5d75243f335326c8260a4b3644361180a2  blind-set-5.txt  an average of clocks is not a measurement
e951762250e3cdd89397189f5e43435441f8499072b21976bdf6021419c36207  blind-set-5.txt  ai act article 12 does not require tamper evidence and we do not say that it does
03d6e2a4f59dd8c524283daddb2a68ff7c03d83388bd62c48897ad8f5ad65f03  blind-set-5.txt  the verifier is free and independent so the evidence does not depend on trusting us
f8ed80c25a6780a917fcb7bfefd473c7eaef785da66db4438c547ce95275a40f  blind-set-5.txt  milliseconds is the accuracy to utc in the design and nanoseconds is the resolution of the local read
f890a866e972ebb98bd76c2323a724f0be95bcc55b5271db1b1a77f35662766e  blind-set-5.txt  nothing prevents a machine from lying about its own clock the receipt makes the lie checkable
b3570214d6ac188bf67f88c4b0589eeaa8a1c901889411fdd0f012c8c966cd3a  blind-set-5.txt  legal standing comes from accreditation rather than from engineering
437da7034664d9e03d3cddee74fe7501ecc24c7868f191d8570123d6f32e578e  fresh-set-1.txt  timewitness gives every build an accurate timestamp to the nanosecond
91cdc62d60525893f20f3fd3edd1d21a169a2e8c1787c679b0c9cc86af0e28a1  fresh-set-1.txt  each stamp is precise to within a billionth of a second against utc
d869edbfe7255aa62875b46f3c261e3806c02f124cc2f8d9f4c4f6fb9b9c2d90  fresh-set-1.txt  adding nts alongside plain ntp tightens the bound on every reading
acd0a0c62357903713749dd6a1c258d43a25ab710ab97e82e6e89d3540501c90  fresh-set-1.txt  the more sources your agent polls the narrower the interval it reports
22c4086351fd78ad03cdccb66e5d04c399cdae1b90c726b9075e10831f54e109  fresh-set-1.txt  your pipeline gets nanosecond accurate time without any extra hardware
8b83d12ed8bea58bddfa74179c876188f0b3db3e090118039b0bc387ba9c79f3  fresh-set-1.txt  because the packets are authenticated nts shrinks the error the agent has to admit to
04c092bc1522a7b400e1ede039a1e5771095c3bec34c8082aea301af07a71981  fresh-set-1.txt  the receipt records exactly when the event happened correct to the nanosecond
2b08dc3a465346b39aae63d945f72034ed1aea6069ba90734c467faaf66c1b5c  fresh-set-1.txt  with six operators instead of four the width comes down and the receipt gets sharper
c083e06cf5ea17435282bd14ca3ac9d051af36897a9784798164300c31224cd3  fresh-set-1.txt  every receipt is signed by the roughtime servers that took part in the round
01c4f34987c83432edc7fe841e909c932c41e0ebfd0a9338d491b1d0ef4f0450  fresh-set-1.txt  the width in the receipt is vouched for by nine independent time servers
aa0f1fda39c29dc8b01580868ffd85549e468f53b9780d1658cc072784e203e4  fresh-set-1.txt  outside operators confirm the bound before the stamp is issued
595a6ff1e64b7ee08b682bb7e624a38b6478492517f2dc96b810ddea33670dab  fresh-set-1.txt  because the nts exchange is authenticated the receipt carries evidence from that server which a stranger can check too
0dd10118e0917b9520342e3f1a7959149d37e4f0ce467a2953e9761edfad523e  fresh-set-1.txt  third parties back the error margin so nobody has to take our word for it
2a3aa15064559c406077d7516a444dbf3d7906a4908f0409c8d2f6e8e7b0699e  fresh-set-1.txt  the bound is independently verified by the servers named in the receipt
e764de34f38ed66852654d1c60145bc529257e10ae10a629eae178a36b63ce6a  fresh-set-1.txt  take a signed receipt to anyone and the servers signatures attest to how tight the interval was
aed2999b7cce42866e11ce0e67e4a8067b2085f49996772dadf5741fb89b8d2d  fresh-set-1.txt  the nts server s signature travels inside the receipt as portable proof for an auditor
837e839d148c8b6a9e6796ed64436cafc7124b2c655013609215c895a0d7efb3  fresh-set-1.txt  timewitness stops anyone backdating a release
81d44bbb3cac7a946c9c43ad327b622791a3d4f5e33f6dd961152482df0eeddb  fresh-set-1.txt  clock rollback is blocked the moment the agent notices it
c16b90c6ef37d8202a967f5b56775841a7f5e0808390ec090436978c874b0bb9  fresh-set-1.txt  with the action in your workflow a tampered artefact can never be published
0f92f67c1a8f4d23cdcdb3302b5f408d485fb7332ec36a9cdf5ca8b7fbc59965  fresh-set-1.txt  your build cannot be backdated once it carries a receipt
9d12d509c8b35959622053731ad79769cf6d0c1184385b423cd8bf8c947d10b8  fresh-set-1.txt  the agent prevents a release from going out while the bound is too wide
25df6e9c37910d26fe568399d15ff43d97991fc26adf01f83f35330049973b04  fresh-set-1.txt  rollback attacks are made impossible by continuous discipline of the clock
eb3fa0e6591942cfb7a6ee7a5f36794b5f564ca1572259ed4910be3459d44c89  fresh-set-1.txt  nobody gets to tamper with a stamped timeline once the receipt exists
d5baa43b1c50d11b4ea3442cf4ca0ac89a438cea625f0fc0767b2525328257a9  fresh-set-1.txt  the agent averages the answers from every server to arrive at true time
6ce03a9a0a90cf4796c3ed686ce6ad3cd5d982a035804e0b737c091a0b92c44f  fresh-set-1.txt  readings from all sources are blended into a single mean offset
0544c0d7a73dcf6fa99441b8cafcde0b747802675187bfd8138e8f4b8bd2afb5  fresh-set-1.txt  timewitness takes the median of its sources so one bad server cannot skew the result
602cd99d47ca3ebece4e4a6256c10977b1ab66f85039160cd806e3e7cffb9fe8  fresh-set-1.txt  each round pools the replies and computes their arithmetic mean
3cccbc347e2d81198a64dfb6eedda45622dfef3a695a278c117eba4da50848ed  fresh-set-1.txt  by consulting several operators and splitting the difference the agent finds the true utc
432d62fa8c8621340b262fe8a2df46b4821ad808ec536258abd7b0afebf0355f  fresh-set-1.txt  your clock is set to the middle value of the six replies
4ba2b8bd4b93458055ad125d5218091f5409c8fcdd053842270042689e452c82  fresh-set-1.txt  outliers are smoothed out by taking a weighted average of the intervals
33d07b953aa456247b301ae4bd50d3dac32de94945d78785776d24ebb03ad345  fresh-set-1.txt  a timewitness receipt is admissible in any court
e41641e26585ed1e670817095e44a2e84716c4b5ad58c43461643f234127e274  fresh-set-1.txt  stamping your build with timewitness satisfies sec 17a 4 record keeping requirements
cba28377bc22a82ff3d3afdc4c1c58830f02ebff7a45db3185850df087fabfcf  fresh-set-1.txt  the receipt meets the eidas standard for a qualified electronic timestamp
133647dc3dafca158a2f809b1bc9a4c053f067761542f484250a8f78d005f42d  fresh-set-1.txt  use the action and your pipeline is compliant with the ai act s logging rules under article 12
40d3cec2aef977d83b51176ef931a1523a2e42abdfafc213f9f5f2b816e22bd8  fresh-set-1.txt  regulators accept a bounded time receipt as proof of when a trade was booked
30685da33a1ee699a770bc3aff4592a7166823f0f6210f830e77430cc42a0745  fresh-set-1.txt  each receipt carries legal standing from the day it is issued
74628ffe6747383f79c2b4473ff4766dceb60e08d84ce3e9b34369e89ec194a7  fresh-set-1.txt  finra regulated firms can rely on the receipt to discharge their timestamping obligations
0245c3afaaffa1be75290b19db56427099be89aca666a1989affe85a6db2560f  fresh-set-1.txt  the agent needs at least three independent operators before it will sign
ab3a12190cbe0c61d041b5a056e59598e9b514264270602522d6dbb746f6a583  fresh-set-1.txt  roughtime alone gives you four operators enough to clear the floor
a6b88763457b61bfaff34682f8d483763bf34de788e7dcc44630b88af7c5e159  fresh-set-1.txt  the resident agent refuses any bound wider than half a second
ed230ec8187d2eb30fe7295f4e7b3028d5d66f1ee7bacda82bd384a1012a82d2  fresh-set-1.txt  the action s max width input defaults to 500 ms
ac031d15cad03cd3201c5122ea191428833f600f86de7f99a98a3a258aa003c2  fresh-set-1.txt  two kinds of time source have a client today roughtime and ntp
532926afa717261f1ed52084bd7a7fcefc8c709472eea0eb69a01b6b32b26651  fresh-set-1.txt  when the agent declines to sign it issues a refusal receipt so the attempt stays on record
69ad8390c070ca86e93fd567008e81cf63ea231f01ab205096685ee84e4fb636  fresh-set-1.txt  you can lower the operator floor to 2 for a quick local test
eceb5b000f9f3db91e14a1734ce6e5a2afea5d91d7a85b2cd8956fba2c98bcfa  fresh-set-1.txt  the one shot command refuses any bound wider than 250 ms
5ffed5bf6fc31ed35b224f90b87289e7b94d86e2f92e1d1b3fac039bcc9bfdef  fresh-set-1.txt  timewitness proves bounded time never accurate time
d56298f4d385c51fa246e178e6c9ea98e0c6352fa196fcf4f2876bb139612f7e  fresh-set-1.txt  a stamp is a local read at nanosecond resolution and its accuracy against utc is expressed as a bound in milliseconds never as a nanosecond figure
1d6823c21533bf4fb0727d005a19059150d7c42f0f2b3e665e600b58f44897ba  fresh-set-1.txt  the width in every receipt is our own claim the outside signatures pin the moment the reading was taken and do not vouch for the width
c50f9da0a59f4751db5c6f1cf543e605e0a1e8be6ad6cbe71ba0fe9558fc3d77  fresh-set-1.txt  receipts are signed by our agent key not by roughtime and not by any of the servers it polled
37e744fe06293c68fa69975bda5cb09053734e5e8bf731b4b8e21c7e8e0e3777  fresh-set-1.txt  nts improves the clock and can never be portable evidence because its symmetric keys would let a client forge an answer to itself
